kah,mar_auto,mob_mar_aut,month,Spittoono,Weightlifting_at_the_2004_Summer_Olympics_–_Men's_69_kg,Florian_Latorre,Cauffry,Labour_for_Independence,Jude_Dibia,1947_Arkansas_Razorbacks_football_team,Anikey_Stroganov,Umberto_Tirelli,Tylotiella_basipunctata,The_Zero_Hour_(1939_film),John_Ibrahim_(footballer),Iwate_Nippo,Spencer_Frankl,Sign_name,"List_of_listed_buildings_in_South_Knapdale,_Argyll_and_Bute",WKAK,Municipal_Golf_Course,Sandra_Pisani,Padma_Samten
0,54,0,201101,7,4,0,2,0,9,1,8,1,2,3,0,3,0,46,0,8,0,0,0
0,49,0,201101,8,4,0,4,0,10,0,5,5,1,2,0,2,0,44,0,8,0,0,0
0,51,0,201101,8,4,0,6,0,9,0,8,4,1,4,0,3,0,58,0,6,0,1,0
0,41,0,201101,7,4,0,7,0,8,0,10,8,1,6,0,5,0,46,0,16,0,0,0
0,27,0,201101,3,17,0,8,0,14,0,16,3,2,7,0,0,0,46,0,9,0,0,0
0,22,0,201101,6,5,0,5,0,6,1,14,13,0,3,0,3,0,39,0,6,0,0,0
0,37,0,201101,3,4,0,9,0,7,0,17,9,3,4,0,4,0,44,0,14,0,0,0
0,39,0,201101,2,11,0,9,0,12,0,13,4,0,2,0,4,0,51,0,12,0,0,0
0,58,0,201101,9,9,0,12,0,7,0,10,5,2,1,0,2,0,49,0,14,0,0,0
0,45,0,201101,3,8,0,7,0,9,0,6,2,0,1,0,4,0,41,0,15,0,0,0
0,40,0,201101,12,6,0,9,0,12,1,11,2,0,3,0,1,0,51,0,3,1,0,0
0,25,0,201101,6,9,0,6,0,7,0,6,4,0,3,0,1,0,44,0,5,1,0,0
0,24,0,201101,8,5,0,6,0,6,2,6,4,0,2,0,3,0,38,0,9,0,0,0
0,47,0,201101,5,7,0,5,0,8,0,6,5,1,4,0,3,0,62,0,10,0,0,0
0,53,0,201102,9,7,0,6,0,14,4,8,5,0,4,0,5,0,43,0,8,0,0,0
0,56,0,201102,11,5,0,5,0,9,0,10,4,0,2,0,6,0,52,0,9,0,0,0
0,53,0,201102,4,7,0,10,0,11,0,6,2,1,4,0,3,0,57,0,13,0,0,0
0,35,0,201102,6,4,0,8,0,7,0,6,4,1,2,0,2,0,42,0,14,0,0,1
0,17,0,201102,9,11,0,5,0,9,0,10,2,2,0,0,1,0,43,0,9,0,0,0
0,26,0,201102,7,8,0,4,0,10,0,11,3,2,3,0,2,0,43,0,4,0,0,0
0,47,0,201102,8,4,0,10,0,8,0,4,3,0,2,0,4,0,58,0,6,0,0,0
0,46,0,201102,7,8,0,6,0,18,0,12,3,1,3,0,2,0,50,0,7,0,0,0
0,56,0,201102,7,7,0,3,0,7,0,10,3,0,3,0,3,0,46,0,8,0,0,0
0,46,0,201102,2,7,0,0,0,9,2,12,4,1,2,0,2,0,52,0,9,0,0,0
0,34,0,201102,8,6,0,6,0,7,1,12,2,1,4,0,2,0,25,0,9,0,1,0
0,17,0,201102,2,3,0,3,0,6,0,13,3,1,5,0,3,0,41,0,13,0,0,0
0,26,0,201102,7,2,0,8,0,12,1,5,2,5,4,0,1,0,30,0,5,0,0,0
0,41,0,201102,6,6,0,7,0,10,1,9,1,2,7,0,6,0,29,0,11,0,0,0
0,72,0,201102,1,6,0,8,0,13,0,4,9,2,7,0,1,0,42,0,9,0,0,0
0,59,0,201102,8,8,0,6,0,7,0,13,6,1,1,0,2,0,66,0,11,0,0,0
0,51,0,201102,8,5,0,8,0,7,0,10,0,1,2,0,3,0,42,0,10,0,0,0
0,51,0,201102,7,10,0,9,0,9,2,5,4,1,3,0,2,0,30,0,11,0,0,0
0,47,0,201102,3,3,0,6,0,7,0,3,4,2,1,0,1,0,24,0,7,0,0,0
0,24,0,201102,1,3,0,7,0,5,0,7,4,1,3,0,1,0,22,0,4,0,0,0
0,44,0,201102,7,8,0,5,0,8,0,13,3,2,5,0,4,0,46,0,15,0,0,0
0,54,0,201102,4,6,0,5,0,7,0,6,3,0,2,0,4,0,36,0,11,0,0,0
0,45,0,201102,3,6,0,1,0,14,3,5,3,2,1,0,4,0,48,0,7,0,1,0
0,45,0,201102,9,10,0,3,0,7,0,7,4,3,3,0,5,0,51,0,4,0,0,0
0,36,0,201102,4,5,0,10,0,9,1,7,4,1,3,0,3,0,41,0,7,0,0,0
0,31,0,201102,4,5,0,12,0,8,0,9,13,0,1,0,3,0,53,0,9,0,1,0
0,21,0,201102,4,11,0,2,0,5,3,13,4,0,3,0,5,0,32,0,10,0,0,0
0,43,0,201102,4,12,0,8,0,4,2,13,5,0,3,0,2,0,55,0,13,0,0,0
0,0,0,201102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,201102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,201102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,0,201103,13,5,0,6,0,9,0,5,9,2,3,0,22,0,56,0,11,0,0,0
0,48,0,201103,8,9,0,7,0,9,0,6,5,2,1,0,2,0,47,0,17,2,0,0
0,53,0,201103,11,8,0,4,0,3,2,11,1,0,1,1,3,0,50,0,14,0,0,0
0,63,0,201103,7,9,0,5,0,9,0,3,0,0,2,0,1,0,41,0,5,0,0,0
0,21,0,201103,4,4,0,7,0,7,0,7,0,2,3,0,5,0,26,0,8,0,0,0
0,23,0,201103,4,6,0,6,0,18,0,13,2,0,1,0,5,0,31,0,11,0,0,0
0,55,0,201103,2,7,0,6,0,6,1,11,2,2,2,0,2,0,46,0,4,0,0,0
0,61,0,201103,6,7,0,6,0,15,0,6,5,1,1,0,5,0,56,0,10,0,1,0
0,82,0,201103,2,5,0,6,0,8,1,7,3,0,2,0,1,0,38,0,10,0,0,0
0,63,0,201103,9,8,0,8,0,3,0,10,1,1,1,0,2,0,48,0,3,0,0,0
0,48,0,201103,5,8,0,4,0,8,1,7,4,1,3,0,12,0,35,0,10,0,0,0
0,97,0,201103,3,5,0,8,0,6,1,5,2,3,3,0,10,0,23,0,6,0,0,0
0,31,0,201103,3,7,0,4,0,11,0,7,3,4,2,0,10,0,38,0,9,0,0,0
0,46,0,201103,3,8,0,2,0,10,0,6,0,0,2,0,8,0,49,0,4,0,0,0
0,64,0,201103,7,9,0,3,0,11,0,3,2,0,6,0,7,0,58,0,5,0,0,0
0,83,0,201103,5,3,0,3,0,6,0,7,4,1,1,0,6,0,36,0,5,0,0,0
0,51,0,201103,4,3,0,2,0,5,0,10,4,0,3,0,5,0,32,0,2,0,0,0
0,48,0,201103,7,2,0,0,0,3,2,3,1,0,1,0,3,0,41,0,3,0,0,0
0,16,0,201103,3,4,0,1,0,4,1,6,4,1,1,0,2,0,32,0,3,0,0,0
0,20,0,201103,6,4,0,1,0,4,1,13,2,0,3,0,3,0,29,0,2,0,0,0
0,55,0,201103,5,5,0,4,0,3,0,5,3,1,1,0,7,0,46,0,4,0,0,0
0,47,0,201103,3,4,0,3,0,8,0,4,3,0,2,0,5,0,43,0,5,0,0,0
0,65,0,201103,1,8,0,3,0,6,0,5,2,1,1,0,36,0,52,0,8,1,0,0
0,56,0,201103,3,1,0,1,0,5,1,6,2,0,2,0,1,0,42,0,3,0,0,0
0,39,0,201103,2,2,0,1,0,3,0,5,0,1,0,0,5,0,34,0,4,0,0,0
0,19,0,201103,3,3,0,4,0,2,1,9,3,0,0,0,5,0,29,0,4,0,0,0
0,28,0,201103,6,1,0,2,0,3,2,9,0,0,2,0,5,0,38,0,5,0,0,0
0,87,0,201103,1,1,0,4,0,3,1,10,2,0,0,0,5,0,44,0,3,0,0,0
0,61,0,201103,5,0,0,5,0,8,0,7,3,0,1,0,3,0,43,0,6,0,0,0
0,85,0,201103,5,2,0,3,0,5,0,4,3,3,0,0,2,0,43,0,8,0,0,0
0,90,0,201103,3,2,0,3,0,1,0,4,2,0,3,0,3,0,50,0,4,0,0,0
0,65,0,201104,3,3,0,5,0,5,0,6,2,1,2,0,4,0,48,0,3,0,0,0
0,14,0,201104,2,1,0,1,0,4,0,9,4,1,2,0,5,0,30,0,2,0,0,0
0,22,0,201104,2,5,0,0,0,2,2,4,4,0,2,0,1,0,30,0,6,0,0,0
0,48,0,201104,2,2,0,0,0,2,0,4,6,0,2,0,3,0,45,0,1,0,0,0
0,57,0,201104,5,3,0,0,0,4,2,5,2,0,2,0,3,0,36,0,6,0,0,0
0,52,0,201104,3,1,0,7,0,6,1,3,4,0,2,0,4,0,41,0,10,0,0,0
0,47,0,201104,0,5,0,5,0,6,0,4,2,0,1,0,5,0,37,0,9,0,0,0
0,36,0,201104,1,0,0,2,0,2,1,5,2,1,2,0,3,0,37,0,4,0,0,0
0,20,0,201104,2,2,0,2,0,5,1,4,0,0,3,0,5,0,40,0,4,0,0,0
0,23,0,201104,4,1,0,2,0,3,1,2,1,0,6,0,2,0,29,0,9,0,0,0
0,63,0,201104,4,5,0,4,0,10,0,9,5,0,3,0,3,0,59,0,9,0,0,0
0,56,0,201104,5,1,0,1,0,3,0,12,3,0,1,0,2,0,36,0,7,0,0,0
0,56,0,201104,3,4,0,1,0,6,1,6,1,0,1,0,2,0,34,0,3,0,0,0
0,61,0,201104,0,4,0,2,0,7,0,10,1,2,3,0,1,0,49,0,7,0,0,0
0,41,0,201104,3,7,0,3,0,4,0,8,0,0,0,0,3,0,40,0,3,0,0,0
0,27,0,201104,1,9,0,4,0,8,2,9,0,1,14,0,2,0,36,0,6,0,0,0
0,29,0,201104,4,6,0,2,0,6,0,6,4,0,1,0,3,0,27,0,5,0,0,0
0,61,0,201104,4,3,0,2,0,4,2,7,1,0,3,0,3,0,34,0,2,0,0,0
0,63,0,201104,3,5,0,2,0,3,0,13,0,1,0,0,3,0,60,0,8,0,1,0
0,70,0,201104,1,1,0,4,0,6,2,6,2,0,2,0,2,0,56,0,6,0,0,0
0,67,0,201104,4,4,0,3,0,1,0,6,4,0,3,0,0,0,42,0,4,0,0,0
0,36,0,201104,3,7,0,1,0,4,0,7,1,0,3,0,2,0,26,0,5,0,0,0
0,28,0,201104,3,2,0,4,0,3,0,10,14,3,2,0,7,0,38,0,6,0,1,0
0,24,0,201104,3,4,0,1,0,1,1,5,2,0,9,0,5,0,30,0,8,0,0,0
0,68,0,201104,3,4,0,0,0,0,1,6,3,0,2,0,3,0,30,0,1,0,0,0
0,69,0,201104,5,0,0,2,0,2,0,5,4,2,0,0,3,0,46,0,4,0,0,0
0,50,0,201104,4,2,0,1,0,5,0,6,2,0,4,0,2,0,41,0,4,0,0,0
0,42,0,201104,5,2,0,2,0,2,0,9,0,0,0,0,0,0,44,0,4,0,1,0
0,47,0,201104,2,4,0,1,0,3,1,8,3,0,2,0,4,0,27,0,4,0,1,0
0,19,0,201104,2,2,0,0,0,3,2,2,2,1,4,0,1,0,18,0,2,0,0,0
0,0,0,201104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0,201105,3,6,0,3,0,7,5,8,2,0,0,0,3,0,32,0,3,1,0,0
0,40,0,201105,7,2,0,2,0,6,1,3,2,0,1,0,1,0,46,0,4,0,0,0
0,74,0,201105,1,2,0,1,0,5,1,7,4,0,3,0,4,0,41,0,14,0,0,0
0,58,0,201105,2,5,0,3,0,5,1,6,2,1,3,0,3,0,48,0,7,0,0,0
0,51,0,201105,2,1,0,4,0,4,0,9,1,0,5,0,1,0,43,0,4,0,0,0
0,54,0,201105,0,2,0,1,0,2,1,5,2,2,3,0,2,0,39,0,4,0,0,0
0,26,0,201105,7,5,0,3,0,4,0,4,0,2,1,1,0,0,33,0,6,0,0,0
0,26,0,201105,3,4,0,4,0,7,0,9,3,0,5,0,4,0,40,0,6,0,0,0
0,54,0,201105,2,3,0,2,0,6,1,14,2,0,1,0,2,0,38,0,4,0,0,0
0,56,0,201105,3,2,0,2,0,6,0,8,2,2,3,0,2,0,57,0,4,0,0,0
0,53,0,201105,1,4,0,2,0,5,0,10,4,0,4,0,3,0,48,0,8,0,0,0
0,56,0,201105,2,7,0,4,0,14,2,8,1,1,1,0,3,0,50,0,4,1,0,0
0,37,0,201105,6,5,0,2,0,11,0,8,1,1,3,0,4,0,46,0,7,0,0,0
0,19,0,201105,2,4,0,2,0,6,0,8,2,3,5,0,5,0,41,0,6,0,0,0
0,18,0,201105,1,3,0,0,0,5,0,5,2,1,0,0,3,0,39,0,6,0,0,0
0,46,0,201105,2,7,0,2,0,6,0,10,1,0,2,0,2,0,50,0,3,0,0,0
0,65,0,201105,3,10,0,3,0,6,1,6,1,0,1,0,2,0,51,0,4,0,0,0
0,50,0,201105,4,2,0,1,0,10,0,5,2,1,0,0,2,0,54,0,5,0,0,0
0,66,0,201105,2,4,0,2,0,5,3,5,2,2,4,0,2,0,50,0,5,0,1,0
0,66,0,201105,3,4,0,1,0,3,1,11,2,0,3,0,3,0,38,0,6,0,0,0
0,28,0,201105,5,5,0,0,0,5,1,4,5,0,2,0,2,0,20,0,8,0,0,0
0,27,0,201105,1,2,0,2,0,2,1,1,1,0,1,0,0,0,31,0,2,0,0,0
0,66,0,201105,3,1,0,3,0,3,0,6,3,0,1,0,4,0,33,0,5,0,0,0
0,68,0,201105,5,3,0,0,0,6,1,9,0,0,2,0,0,0,42,0,14,0,0,0
0,81,0,201105,7,7,0,2,0,9,2,11,1,0,2,0,3,0,39,0,8,0,0,0
0,108,0,201105,6,2,0,3,0,10,1,4,0,0,3,0,3,0,36,0,4,0,0,0
0,87,0,201105,4,4,0,2,0,4,0,7,1,0,1,0,0,0,38,0,0,0,0,0
0,22,0,201105,6,4,0,1,0,4,1,5,3,1,2,0,2,0,32,0,6,0,0,0
0,24,0,201105,2,2,0,4,0,3,0,7,1,0,2,0,1,0,35,0,2,0,0,0
0,43,0,201105,3,2,0,0,0,5,0,7,3,1,0,0,0,0,30,0,2,0,0,0
0,49,0,201105,1,3,0,3,0,6,0,10,3,1,1,0,1,0,38,0,1,0,0,0
0,53,0,201106,5,4,0,0,0,8,1,9,4,0,2,0,5,0,44,0,5,0,0,0
0,76,0,201106,1,7,0,6,0,3,0,4,2,1,0,1,1,0,50,0,2,0,0,0
0,75,0,201106,3,3,0,3,0,5,0,6,0,1,2,0,3,0,22,0,2,0,0,0
0,22,0,201106,2,2,0,3,0,3,0,3,3,2,0,0,2,0,21,0,6,0,0,0
0,30,0,201106,3,2,0,3,0,6,2,8,5,0,2,0,4,0,35,0,1,0,0,0
0,48,0,201106,4,2,0,0,0,4,2,2,3,0,5,0,4,0,49,0,6,0,0,0
0,80,0,201106,4,3,0,2,0,10,0,6,2,0,0,1,1,0,69,0,9,0,0,0
0,73,0,201106,3,1,0,1,0,4,0,4,3,0,5,0,1,0,43,0,6,0,0,0
0,77,0,201106,4,3,0,4,0,3,0,6,3,0,1,0,5,0,31,0,4,0,0,0
0,90,0,201106,2,1,0,1,0,4,1,10,2,0,1,0,1,0,33,0,8,0,0,0
0,15,0,201106,5,4,0,3,0,5,0,7,1,3,1,1,2,0,35,0,4,1,0,0
0,38,0,201106,1,8,0,1,0,4,0,6,3,1,1,0,3,0,41,0,3,0,0,0
0,64,0,201106,8,5,0,3,0,3,2,13,1,1,4,0,1,0,43,0,4,0,0,0
0,62,0,201106,3,1,0,5,0,4,1,10,3,0,0,0,1,0,40,0,3,0,0,0
0,79,0,201106,3,7,0,2,0,9,1,3,2,0,3,0,4,0,47,0,5,1,0,0
0,64,0,201106,3,3,0,1,0,4,1,6,1,1,1,1,5,0,47,0,8,0,0,0
0,56,0,201106,0,3,0,3,0,8,0,4,3,0,1,0,7,0,38,0,9,0,0,0
0,26,0,201106,2,4,0,2,0,2,1,10,2,0,4,0,1,0,36,0,10,0,0,0
0,22,0,201106,5,4,0,1,0,2,1,6,5,2,4,0,0,0,45,0,2,0,0,0
0,57,0,201106,6,7,0,3,0,4,0,8,5,1,2,0,2,0,56,0,2,0,0,0
0,89,0,201106,3,4,0,0,0,6,1,10,5,0,1,0,3,0,51,0,1,0,1,0
0,64,0,201106,2,5,0,1,0,6,1,10,4,2,2,0,6,0,48,0,2,0,0,0
0,86,0,201106,2,7,0,3,0,3,1,7,5,0,0,0,1,0,48,0,6,0,0,0
0,104,0,201106,6,5,0,3,0,3,1,4,1,1,0,0,3,0,39,0,3,0,0,0
0,35,0,201106,6,5,0,4,0,5,0,2,5,1,1,0,7,0,41,0,3,0,0,0
0,22,0,201106,4,9,0,2,0,2,0,7,1,1,1,0,2,0,30,0,3,0,0,0
0,107,0,201106,3,5,0,4,0,8,1,5,3,1,2,1,0,0,49,0,6,0,0,0
0,105,0,201106,3,3,0,1,0,4,0,10,7,0,2,0,6,0,70,0,6,0,0,0
0,77,0,201106,6,3,0,2,0,7,1,8,9,3,0,0,3,0,62,0,4,0,0,0
0,69,0,201106,4,8,0,1,0,7,0,1,10,1,2,0,5,0,47,0,3,0,0,0
0,0,0,201106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,0,201107,11,3,0,1,0,4,0,7,5,1,5,0,0,0,39,0,3,0,0,0
0,26,0,201107,7,3,0,1,0,3,3,11,4,1,3,0,1,0,35,0,4,0,0,0
0,28,0,201107,5,14,0,3,0,10,0,3,0,0,1,0,4,0,41,0,7,0,0,0
0,47,0,201107,4,7,0,3,0,2,0,7,13,2,3,0,2,0,22,0,2,0,0,0
0,47,0,201107,5,3,0,1,0,2,0,4,10,0,1,0,3,0,44,0,5,0,0,0
0,74,0,201107,4,4,0,2,0,10,0,4,4,2,1,0,3,0,40,0,4,0,0,0
0,70,0,201107,3,4,0,6,0,5,0,2,7,2,3,0,0,0,45,0,6,0,0,0
0,70,0,201107,7,11,0,1,0,5,1,7,1,4,1,0,4,0,47,0,4,0,0,0
0,24,0,201107,3,7,0,1,0,6,5,6,3,2,2,0,3,0,31,0,6,0,0,0
0,25,0,201107,4,4,0,2,0,9,0,5,4,1,2,0,3,0,29,0,9,0,0,0
0,50,0,201107,4,3,0,1,0,6,0,6,3,0,0,0,1,0,41,0,3,0,0,0
0,83,0,201107,6,5,0,0,0,10,1,6,2,1,5,0,2,0,57,0,5,0,0,0
0,61,0,201107,3,6,0,3,0,6,0,0,0,1,1,0,3,0,62,0,1,10,0,0
0,81,0,201107,1,6,0,0,0,6,1,6,1,2,3,1,3,0,49,0,3,3,0,0
0,33,0,201107,5,5,0,2,0,5,0,0,2,1,0,0,3,0,37,0,3,0,1,0
0,16,0,201107,2,4,0,0,0,4,1,7,0,2,3,0,3,0,32,0,3,0,0,0
0,16,0,201107,6,6,0,5,0,6,0,11,3,0,1,0,2,0,47,0,7,0,0,0
0,54,0,201107,6,9,0,2,0,3,1,4,3,0,0,0,6,0,56,0,4,0,0,0
0,85,0,201107,2,2,0,4,0,9,1,3,2,0,1,0,6,0,63,0,8,0,0,0
0,61,0,201107,6,5,0,4,0,4,2,6,2,4,4,0,3,0,61,0,3,0,0,0
0,89,0,201107,7,6,0,1,0,8,0,39,0,1,1,0,2,0,51,0,2,0,0,0
0,60,0,201107,3,13,0,4,0,10,2,6,4,2,2,0,4,0,41,0,5,0,0,0
0,27,0,201107,3,4,0,4,0,7,1,6,4,1,1,0,2,0,38,0,10,0,0,0
0,26,0,201107,4,2,0,0,0,3,0,9,2,4,1,0,1,0,33,0,9,0,0,0
0,50,0,201107,3,1,0,5,0,4,1,3,0,0,2,0,2,0,52,0,6,0,0,0
0,94,0,201107,5,3,0,2,0,5,3,13,3,3,1,0,2,0,64,0,10,0,0,0
0,79,0,201107,5,1,0,3,0,4,2,9,1,2,1,0,6,0,58,0,7,0,0,0
0,56,0,201107,6,4,0,5,0,4,1,4,1,0,4,0,6,0,55,0,8,0,0,0
0,59,0,201107,5,2,0,4,0,6,0,8,5,0,1,0,2,0,53,0,7,0,0,0
0,22,0,201107,3,4,0,1,0,6,3,4,1,2,1,0,3,0,36,0,6,0,0,0
0,29,0,201107,6,3,0,5,0,11,5,11,1,1,3,0,2,0,47,0,7,0,0,0
0,47,0,201108,10,4,0,2,0,6,4,9,7,1,1,1,2,0,44,0,7,0,0,0
0,57,0,201108,3,3,0,1,0,4,1,13,3,1,1,0,1,0,88,0,9,0,0,0
0,84,0,201108,7,1,0,1,0,3,1,4,0,1,2,0,1,0,54,0,2,0,1,0
0,65,0,201108,9,6,0,5,0,5,2,3,2,0,3,0,4,0,62,0,6,0,1,0
0,69,0,201108,2,5,0,4,0,2,1,7,1,0,3,0,5,0,54,0,9,1,0,0
0,75,0,201108,6,5,0,3,0,1,0,14,1,0,1,0,3,0,45,0,11,0,1,0
0,58,0,201108,6,0,0,2,0,5,0,5,2,1,3,0,1,0,53,0,7,0,0,0
0,67,0,201108,7,9,0,0,0,4,1,11,6,0,1,0,7,0,63,0,12,0,1,0
0,114,0,201108,14,2,0,4,0,3,3,13,3,2,3,0,2,0,101,0,8,0,0,0
0,145,0,201108,11,3,0,5,0,13,1,7,2,1,1,0,3,0,53,0,7,0,0,0
0,95,0,201108,8,4,0,2,0,3,2,9,5,2,2,0,4,0,49,0,5,0,0,0
0,43,0,201108,12,8,0,3,0,11,1,8,4,0,3,0,4,0,41,0,15,0,0,0
0,29,0,201108,4,6,0,5,0,3,0,5,1,2,2,0,6,0,54,0,9,0,0,0
0,21,0,201108,7,7,0,2,0,6,0,11,1,0,1,0,2,0,40,0,3,0,0,0
0,43,0,201108,10,3,0,3,0,4,1,13,2,2,3,0,1,0,58,0,4,0,0,0
0,72,0,201108,13,0,0,3,0,6,0,9,0,0,4,0,6,0,66,0,8,0,0,0
0,74,0,201108,8,1,0,1,0,5,1,14,3,1,2,0,6,0,39,0,6,0,0,0
0,60,0,201108,15,0,0,2,0,3,0,9,1,1,2,0,1,0,48,0,10,0,0,0
0,62,0,201108,10,6,0,3,0,3,0,3,2,3,1,0,7,0,31,0,7,0,0,0
0,28,0,201108,14,5,0,4,0,5,0,4,0,1,3,1,3,0,47,0,6,1,0,0
0,39,0,201108,16,6,0,5,0,7,1,12,3,2,2,0,3,0,34,0,5,0,0,0
0,71,0,201108,13,5,0,3,0,4,1,12,4,2,3,0,1,0,48,0,6,0,0,0
0,67,0,201108,35,5,0,2,0,9,1,4,2,1,2,0,6,0,52,0,1,0,0,0
0,64,0,201108,36,1,0,4,0,10,1,5,2,2,1,0,4,0,47,0,3,0,0,0
0,73,0,201108,80,2,0,9,0,5,0,10,2,1,4,0,2,0,51,0,7,0,0,0
0,64,0,201108,164,1,0,2,0,4,1,6,0,0,1,0,3,0,33,0,7,0,0,0
0,24,0,201108,133,3,0,2,0,4,1,7,1,0,3,0,3,0,37,0,7,0,0,0
0,30,0,201108,91,3,0,2,0,4,0,10,1,0,2,0,2,0,41,0,6,1,0,0
0,41,0,201108,15,6,0,2,0,9,1,2,2,6,3,0,5,0,47,0,7,0,0,0
0,64,0,201108,7,3,0,5,0,10,1,6,2,0,3,0,4,0,45,0,13,0,0,0
0,56,0,201108,11,1,0,3,0,6,0,3,2,0,4,0,4,0,50,0,3,0,1,0
0,74,0,201109,3,5,0,2,0,4,1,8,7,1,3,0,1,0,53,0,10,0,0,0
0,0,0,201109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,201109,9,4,0,0,0,2,1,4,4,0,2,0,4,0,34,0,6,0,0,0
0,12,0,201109,4,4,0,3,0,4,1,3,0,1,1,0,2,0,35,0,4,0,0,0
0,41,0,201109,2,3,0,0,0,5,0,3,5,0,5,0,2,0,47,0,4,0,0,0
0,60,0,201109,9,4,0,4,0,8,0,8,5,2,1,0,3,0,40,0,5,0,0,0
0,68,0,201109,5,0,0,2,0,3,1,0,6,0,3,0,4,0,36,0,6,0,0,0
0,51,0,201109,6,3,0,4,0,5,0,3,2,0,3,0,2,0,45,0,7,0,0,0
0,64,0,201109,7,5,0,5,0,4,1,6,7,1,3,0,0,0,39,0,5,0,0,0
0,22,0,201109,3,2,0,2,0,5,0,4,11,0,4,0,2,0,30,0,5,0,0,0
0,17,0,201109,6,4,0,5,0,2,1,3,11,2,4,0,5,0,36,0,4,0,0,0
0,57,0,201109,6,8,0,5,0,2,2,9,2,0,3,0,2,0,42,0,4,0,0,0
0,62,0,201109,1,3,0,6,0,5,0,7,4,0,0,0,2,0,26,0,4,0,0,0
0,53,0,201109,1,1,0,4,0,3,0,5,2,1,4,0,2,0,34,0,4,0,0,0
0,67,0,201109,6,1,0,1,0,7,1,12,5,2,1,0,4,0,55,0,5,0,0,0
0,51,0,201109,7,2,0,2,0,2,0,11,3,0,4,0,4,0,50,0,2,0,0,0
0,21,0,201109,4,1,0,1,0,4,2,3,7,0,1,0,3,0,44,0,3,0,0,0
0,19,0,201109,4,5,0,1,0,3,1,7,0,1,2,0,3,0,26,0,3,0,0,0
0,49,0,201109,4,1,0,2,0,8,2,7,3,0,2,0,1,0,33,0,2,0,0,0
0,73,0,201109,3,7,0,1,0,6,0,7,3,1,4,0,1,0,42,0,5,0,0,0
0,42,0,201109,4,2,0,1,0,4,1,9,1,1,1,0,4,0,56,0,1,0,0,0
0,67,0,201109,3,4,0,1,0,3,0,6,2,1,2,0,3,0,43,0,3,0,0,0
0,53,0,201109,8,4,0,1,0,3,0,7,3,0,1,0,0,0,54,0,5,0,0,0
0,20,0,201109,4,5,0,0,0,8,2,8,2,0,5,1,1,0,47,0,5,0,0,0
0,24,0,201109,4,2,0,0,0,4,2,5,4,1,5,0,2,0,42,0,4,0,0,0
0,54,0,201109,8,2,0,5,0,2,3,3,9,1,1,0,4,0,46,0,3,0,0,0
